PacketCounter_femur,SampleTimeFine_femur,Quat_W_femur,Quat_X_femur,Quat_Y_femur,Quat_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1854,316781888,0.91013193,0.007560642,-0.32771504,0.25340557,1.4363526,-0.5418156,0.23322678
1855,316798555,0.9124563,0.007394677,-0.31928912,0.25579727,0.95630646,-0.61067134,-0.066287994
1856,316815222,0.91490555,0.007055494,-0.31013837,0.25830457,-0.28342694,1.3760937,0.04142952
1857,316831889,0.91758364,0.004406835,-0.3014978,0.25909215,0.28898033,1.6230607,-0.15492058
1858,316848556,0.920446,3.33E-04,-0.29256696,0.25921503,0.7810003,-1.2433186,0.24603271
1859,316865223,0.9233566,-0.001913004,-0.28224233,0.2603022,-0.31045413,-2.6289213,-0.41375446
1860,316881890,0.9261043,-0.001837691,-0.27082205,0.2626632,-1.761869,-1.5356708,-0.88015175
1861,316898557,0.92855084,-0.001014374,-0.25911176,0.26582357,-1.5514001,1.2936406,-0.6827183
1862,316915224,0.9312072,-0.002613134,-0.24732375,0.2677426,-0.601232,1.2073847,-0.35508347
1863,316931891,0.93401057,-0.005670385,-0.23530142,0.26876414,-0.9708881,0.08905705,-0.2190857
1864,316948558,0.9366351,-0.008198316,-0.22282799,0.270193,-0.96761274,-0.4152791,-0.13461876
1865,316965225,0.93898314,-0.010641404,-0.2105389,0.2718084,-0.7942535,-0.32966867,-0.018434525
1866,316981892,0.9412326,-0.014906813,-0.19936213,0.27225447,-0.8081053,-0.12839845,-0.115798
1867,316998559,0.94330394,-0.020586276,-0.1888997,0.27217573,-0.28578055,-0.4015149,0.43393707
1868,317015226,0.9447466,-0.026062222,-0.18023562,0.27257764,0.53517115,-0.9205768,1.6228266
1869,317031893,0.94561595,-0.028472563,-0.17412187,0.27329507,1.378856,-0.6694465,2.1441631
1870,317048560,0.94641465,-0.028864749,-0.17104138,0.27243364,1.4283234,0.45117116,1.562788
1871,317065227,0.9470152,-0.029459393,-0.1704488,0.27064797,0.55206674,1.2641388,1.0614271
1872,317081894,0.9475535,-0.030555453,-0.170519,0.2685907,0.5488285,1.7056012,0.5366602
1873,317098561,0.947991,-0.03248068,-0.17067136,0.26671737,0.37400556,0.5420895,0.17331123
1874,317115228,0.9481204,-0.033854786,-0.17067246,0.26608515,-0.6654771,-0.9056145,0.027482986
1875,317131895,0.94809,-0.03370537,-0.17055063,0.2662902,-1.8072029,-1.1918343,-0.52439785
1876,317148562,0.9482024,-0.033139423,-0.17026308,0.2661457,-2.262623,-0.86097026,-1.0468769
1877,317165229,0.94834924,-0.03315589,-0.16968364,0.26599008,-2.152183,-0.64125663,-0.9610548
1878,317181896,0.9484444,-0.03360673,-0.16858149,0.2662954,-1.4325587,-0.6127074,-0.12761402
1879,317198563,0.9485255,-0.033774946,-0.16710936,0.26691255,-0.86871356,-0.21429378,0.49903965
1880,317215230,0.9486476,-0.033555865,-0.16550833,0.2675024,-1.0347817,0.702157,0.2203474
1881,317231897,0.948796,-0.033891674,-0.16397,0.26788107,-1.1308622,1.1973976,-0.42356396
1882,317248564,0.94894874,-0.0355806,-0.1624069,0.268073,-0.6143237,0.8488612,-0.358325
1883,317265231,0.94908607,-0.037659384,-0.16079757,0.26827347,0.084808975,0.39564097,-0.038518906
1884,317281898,0.9492707,-0.03963984,-0.159304,0.2682255,0.42306063,-0.098067455,0.19582081
1885,317298565,0.94952965,-0.04108777,-0.15805072,0.2678326,0.51856804,0.11533495,0.55667496
1886,317315232,0.94978136,-0.042327352,-0.15711111,0.2672993,0.8467783,0.39146295,0.57181644
1887,317331899,0.94994396,-0.04384287,-0.1563769,0.26690716,1.1519465,-0.005949049,0.46688938
1888,317348566,0.95002943,-0.045224283,-0.15582421,0.26669568,1.1765826,-0.7411737,0.22473907
1889,317365233,0.950061,-0.045668606,-0.15537997,0.26676685,1.1227804,-1.1205653,0.060049057
1890,317381900,0.9501359,-0.045117564,-0.15491027,0.26686728,0.89208513,-0.98753065,-0.03708744
1891,317398567,0.9503042,-0.04434591,-0.15441547,0.26668328,0.6671941,-0.49874502,0.00193882
1892,317415234,0.95047903,-0.043993067,-0.15380268,0.26647305,0.52510995,-0.048875522,0.059846878
1893,317431901,0.9505868,-0.044187088,-0.15295883,0.2665422,0.4675207,-0.36454374,0.27581882
1894,317448568,0.9505975,-0.043944187,-0.15214711,0.2670085,0.28002933,-0.7948925,0.3105955
1895,317465235,0.95053947,-0.042873215,-0.1513262,0.26785445,0.05120436,-0.8313216,0.13185883
1896,317481902,0.9504841,-0.04141923,-0.15027297,0.26887077,-0.071076006,-0.4071453,0.11765003
1897,317498569,0.95048994,-0.04010665,-0.14904243,0.2697329,-0.2206834,0.010539753,0.21001434
1898,317515236,0.95053077,-0.03922998,-0.1478223,0.27038807,-0.33989638,0.053090584,0.25222015
1899,317531903,0.95059645,-0.038542174,-0.14651588,0.27096698,-0.44413733,-0.0772915,0.26238918
1900,317548570,0.9506622,-0.03766983,-0.14516808,0.27158302,-0.49947953,-0.18029745,0.19428444
1901,317565237,0.9506856,-0.036851287,-0.1439762,0.27224746,-0.5442894,-0.19123124,-0.05658436
1902,317581904,0.950666,-0.03610795,-0.1429241,0.27296856,-0.44279924,-0.031028403,-0.12893772
1903,317598571,0.95062864,-0.035469625,-0.14204502,0.27364093,-0.22094613,0.19762273,-0.059778214
1904,317615238,0.95060027,-0.035028156,-0.14138433,0.27413756,-0.21711624,0.31671724,-0.08706379
1905,317631905,0.9505965,-0.03471521,-0.14084966,0.2744653,-0.19694878,0.40182948,-0.14190674
1906,317648572,0.9506045,-0.034448013,-0.14051034,0.2746459,-0.19512893,0.34493202,-0.20828152
1907,317665239,0.95061684,-0.034207843,-0.14042376,0.27467707,-0.25508484,0.28384343,-0.3974371
1908,317681906,0.95062196,-0.034093283,-0.14047377,0.2746483,-0.26088744,0.2778156,-0.4870577
1909,317698573,0.9506421,-0.034131937,-0.14058982,0.27451393,-0.19959562,0.2645158,-0.30948162
1910,317715240,0.95066607,-0.03439641,-0.14079776,0.27429134,-0.13018736,0.16392882,-0.03552246
1911,317731907,0.9507165,-0.034734663,-0.14096226,0.27398938,-0.11468908,0.09626264,0.18649578
1912,317748574,0.9507741,-0.03506524,-0.14113337,0.27365923,-0.22090143,-0.0705211,0.259655
1913,317765241,0.9508478,-0.03530907,-0.14133678,0.27326635,-0.35619763,-0.07734903,0.23502731
1914,317781908,0.9509222,-0.035600804,-0.14158425,0.27284124,-0.36459857,-0.018580269,0.1538105
1915,317798575,0.9509748,-0.036033135,-0.14183655,0.2724697,-0.29629505,-0.09690225,0.15150356
1916,317815242,0.9510385,-0.03637538,-0.14206563,0.27208272,-0.17273316,0.027683923,0.17328358
1917,317831909,0.951108,-0.036778986,-0.14239638,0.27161214,-0.09396261,0.139135,0.004332542
1918,317848576,0.9511743,-0.037555873,-0.14289033,0.2710132,0.007801832,0.06275442,-0.16524887
1919,317865243,0.9512155,-0.038463917,-0.14337209,0.27048624,0.077393375,-0.066130415,-0.114946365
1920,317881910,0.95122457,-0.039219987,-0.14384718,0.2700935,0.20415618,-0.14425585,0.001272202
1921,317898577,0.9512556,-0.039779026,-0.14433075,0.26964408,0.2451946,-0.11359096,0.009422302
1922,317915244,0.95131797,-0.040265262,-0.14468859,0.26915973,0.20746092,-0.05055539,0.14367485
1923,317931911,0.9514346,-0.04072184,-0.1448965,0.26856607,0.25154147,0.10870382,0.3724823
1924,317948578,0.95160794,-0.04123177,-0.14507712,0.26777583,0.23285133,0.32512102,0.47262955
1925,317965245,0.95178145,-0.042095404,-0.14546505,0.26681262,0.16575006,0.12694588,0.2750864
1926,317981912,0.9519111,-0.043162815,-0.1458845,0.2659492,0.19539559,-0.2842081,-0.034521103
1927,317998579,0.9519653,-0.043902427,-0.14622745,0.26544517,0.09468657,-0.44997403,-0.1775055
1928,318015246,0.95196956,-0.044320267,-0.14667456,0.26511347,0.20614623,-0.34292585,-0.28663445
1929,318031913,0.952002,-0.04463128,-0.14708021,0.26472038,0.33610168,-0.18759973,-0.20569038
1930,318048580,0.95207894,-0.045158286,-0.14752156,0.26410753,0.31512243,-0.05704464,-0.08128548
1931,318065247,0.9521363,-0.045914028,-0.14818001,0.26340136,0.21774565,-0.2567585,-0.06931877
1932,318081914,0.9521719,-0.046281427,-0.14871658,0.2629056,0.118986785,-0.42027906,0.07006645
1933,318098581,0.95219684,-0.045979623,-0.1491146,0.2626423,0.03324621,-0.2741993,0.22591972
