PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur,PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
87.0,1209456835.0,-112.40615840000001,-82.22107697,-72.75266266,-0.07816033,0.12392243,0.20488167,88,1209456835,-163.3799896,-79.39099121,-0.8506335620000001,-0.03411458,0.019916905,-0.022454262000000003
88.0,1209473502.0,-112.3001633,-82.26450348,-72.79870605,-0.08784572,0.18176194,0.16893005,89,1209473502,-163.4594574,-79.40420532,-0.7643525,-0.061974764,0.028212197,-0.036076546
89.0,1209490169.0,-112.2103348,-82.30517578,-72.83430481,-0.09543837599999999,0.20242412,0.15242767,90,1209490169,-163.54789730000002,-79.41996765,-0.658175528,-0.0815191,-0.017300406,-0.03667736
90.0,1209506836.0,-112.0935364,-82.33538055,-72.88778687,-0.112844355,0.18902983,0.15809822,91,1209506836,-163.6047363,-79.43929291,-0.582101524,-0.06584487,-0.07590807,0.016168593999999998
91.0,1209523503.0,-111.91922759999999,-82.34873199,-72.98760223,-0.08833075,0.16500942,0.15465832,92,1209523503,-163.6343842,-79.46240234,-0.5466824770000001,-0.063543424,-0.115372695,0.08823967
92.0,1209540170.0,-111.73741909999998,-82.34996796,-73.09087372,-0.08984760000000001,0.09205532,0.16584587,93,1209540170,-163.6504517,-79.48760223,-0.533873498,-0.012912273,-0.05856805,0.020251274
93.0,1209556837.0,-111.6494598,-82.35055542,-73.10068512,-0.046023138,-0.02147574,0.13254356,94,1209556837,-163.66334530000003,-79.5154953,-0.5279946329999999,-0.022097679,0.012827241000000001,-0.04950428
94.0,1209573504.0,-111.68125149999999,-82.35394287,-72.99269867,0.0047672240000000005,-0.14616495,0.10733795,95,1209573504,-163.66377260000002,-79.54399109,-0.5346471070000001,-0.059531285999999996,-0.002062075,-0.041894913
95.0,1209590171.0,-111.7932968,-82.36120605,-72.81212616,0.05171124,-0.23995861,0.10529423,96,1209590171,-163.6527252,-79.57241821,-0.537449121,-0.035421453,0.030481857999999997,-0.036810875
96.0,1209606838.0,-111.8787689,-82.36629486,-72.67027283,0.07774869999999999,-0.2626942,0.10258769999999999,97,1209606838,-163.670166,-79.60132599,-0.512898564,0.0014260479999999999,-0.017554036999999998,-0.006088257
97.0,1209623505.0,-111.933075,-82.36704254,-72.58782959,0.09103536,-0.24288110000000002,0.12401104,98,1209623505,-163.709671,-79.62936401,-0.491825759,0.011971046,-0.09394998,-0.020525932
98.0,1209640172.0,-112.0340881,-82.36439514,-72.49558258,0.074684635,-0.20598665,0.13203621,99,1209640172,-163.7506561,-79.65567779999999,-0.494888306,0.087392144,-0.07043223,-0.030659676
99.0,1209656839.0,-112.2007065,-82.36223602,-72.37996674,0.08410437,-0.19486760000000003,0.17370510000000003,100,1209656839,-163.78877260000002,-79.6784668,-0.5115064979999999,0.11533104,0.013304106000000001,-0.031294823
100.0,1209673506.0,-112.3625565,-82.36238861,-72.30670929,0.067799725,-0.17954545,0.2794428,101,1209673506,-163.84753419999998,-79.69428253,-0.5012954470000001,0.12576700000000002,0.077586435,0.006973266999999999
101.0,1209690173.0,-112.4773865,-82.37849426,-72.30072784,0.0511551,-0.13440938,0.28738213,102,1209690173,-163.941803,-79.70510864,-0.44969308399999997,0.10449457,0.08691128,-0.036128997999999996
102.0,1209706840.0,-112.5839462,-82.41433716,-72.30429840000001,0.075110726,-0.06751875,0.2222786,103,1209706840,-164.04685969999997,-79.71311951,-0.378336489,0.09398701,0.05489674,-0.06359005
103.0,1209723507.0,-112.6798172,-82.45363617,-72.29943848,0.06415924,0.01116867,0.18742752,104,1209723507,-164.1494446,-79.71547699,-0.303578526,0.035538476,0.009019139,-0.008914948
104.0,1209740174.0,-112.70613859999999,-82.48947906,-72.32822418,0.04682495,0.11159281,0.17198944,105,1209740174,-164.2470856,-79.71517944,-0.23491254399999997,0.026597356000000003,-0.041581847000000005,0.03494358
105.0,1209756841.0,-112.65933229999999,-82.51557159,-72.39387512,0.02367909,0.18802446,0.126441,106,1209756841,-164.3556976,-79.71585083,-0.156632304,-0.007621973000000001,-0.018075883,-0.01560688
106.0,1209773508.0,-112.63922120000001,-82.52577209,-72.40341949,-0.022323287999999997,0.20979948,0.09710121,107,1209773508,-164.4510651,-79.71691132,-0.086255915,-0.030940053999999998,0.009245725,-0.035173416
107.0,1209790175.0,-112.64634699999999,-82.51982117,-72.36417389,-0.06410885599999999,0.19162694,0.15290356,108,1209790175,-164.5202484,-79.71691132,-0.024898665,-0.04066207,0.045890953,-0.012251854
108.0,1209806842.0,-112.6185226,-82.51056671,-72.34265137,-0.1118479,0.15429932,0.19717312,109,1209806842,-164.5655518,-79.72119141,0.030856421000000002,-0.07131038599999999,0.00298373,0.03473568
109.0,1209823509.0,-112.5215225,-82.50315094,-72.37864685,-0.11732764,0.09939823,0.19858551,110,1209823509,-164.6081696,-79.72840881,0.08477667,-0.054522794000000006,-0.072169095,-0.009813309000000001
110.0,1209840176.0,-112.4145584,-82.4954071,-72.42382049999999,-0.08255766,0.010061136,0.1609745,111,1209840176,-164.6300659,-79.73680115,0.110222764,-0.031825047,-0.098036416,-0.034101486
111.0,1209856843.0,-112.34040829999999,-82.48579407,-72.4367218,-0.07042318,-0.121977165,0.12508774,112,1209856843,-164.64047240000002,-79.74588776,0.11959976,-0.019994888,-0.060280047,-0.011060715
112.0,1209873510.0,-112.3495407,-82.45678711,-72.36519623,-0.092856325,-0.28761527,0.12433338,113,1209873510,-164.6313629,-79.75552368,0.117627442,0.020983137000000002,0.007585024,0.018418312
113.0,1209890177.0,-112.2753906,-82.45420837,-72.39988708,-0.10797182,-0.13117054,0.17286015,114,1209890177,-164.6320648,-79.76632690000001,0.127052903,0.031580348,0.02674014,-0.006766319
114.0,1209906844.0,-112.64852909999999,-82.46154785,-72.08985138,0.13819654,-0.14122312,0.17648697,115,1209906844,-164.6613159,-79.77561188,0.159082159,0.03701441,0.004490654,-0.052368164
115.0,1209923511.0,-113.05932620000002,-82.4664917,-71.76870728,0.12552746,-0.08665923,0.28244114,116,1209923511,-164.6978302,-79.78205872,0.188227683,0.04217619400000001,0.016421217,-0.020915031
116.0,1209940178.0,-113.131813,-82.48085785,-71.75553131,0.042961995999999995,-0.04874703,0.26086712,117,1209940178,-164.7337494,-79.78826141,0.197687715,0.014341868999999998,0.016668255,0.02240181
117.0,1209956845.0,-112.9934692,-82.49321747,-71.94065094,0.014679783,-0.01751486,0.18747139,118,1209956845,-164.7759247,-79.79489136,0.196410865,0.03013746,-0.002501836,-0.018117905
118.0,1209973512.0,-112.84445190000001,-82.50074768,-72.15528107,0.005226621,0.00148129,0.15280342,119,1209973512,-164.84214780000002,-79.7973175,0.207688108,0.04032502,-0.008209184,-0.022415161
119.0,1209990179.0,-112.84083559999999,-82.51069641,-72.25205231,0.043883267999999996,0.012378385,0.19000435,120,1209990179,-164.91894530000002,-79.79706573,0.22199343100000002,0.021412931,-0.0007650000000000001,-0.045576095999999996
120.0,1210006846.0,-112.94513700000002,-82.52748108,-72.24656677,0.02681617,0.013099319,0.16427708,121,1210006846,-164.9883881,-79.79708862,0.24056311,0.006702546,0.00354201,-0.027600287999999997
121.0,1210023513.0,-113.0453186,-82.53675842,-72.23177338,0.043595623,-0.014749723999999999,0.107910156,122,1210023513,-165.0480499,-79.79457855,0.276052177,0.01626739,0.021084982999999998,-0.009093285
