PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
446,2351009350,174.7515106,-64.91782379,-20.53845406,-1.6016412,0.24099658,0.55743027
447,2351026017,174.6855164,-63.98062134,-20.51891899,-0.56175786,0.7811376,-0.11917591
448,2351042684,174.6989594,-63.0084877,-20.47461891,0.74010205,0.5778577,-0.43729877
449,2351059351,174.8826447,-62.07825089,-20.35001183,-0.5705338,0.8434824,0.23122406
450,2351076018,175.1086731,-61.17589951,-20.20449829,-1.1128203,0.8342216,1.1796894
451,2351092685,175.4388885,-60.32171249,-20.1197052,-0.97037023,0.4762871,1.1188726
452,2351109352,175.8128662,-59.46512222,-20.07946587,-0.0727224,-0.32447168,0.017762184
453,2351126019,176.1908112,-58.6227417,-20.06080437,-0.050639767,-1.2306921,-0.5914364
454,2351142686,176.4978485,-57.90083313,-20.1601944,-1.6713467,-1.2794061,0.80084324
455,2351159353,176.6695099,-57.33811188,-20.38760185,-1.7208227,-0.91192394,1.426506
456,2351176020,176.6870117,-56.82759476,-20.64665222,-0.4783565,-0.14418218,0.33381653
457,2351192687,176.7760315,-56.24846649,-20.90847015,0.8329149,0.3146784,-0.63227177
458,2351209354,177.2013092,-55.63697052,-21.16856194,0.8711808,-0.15717934,-0.6112404
459,2351226021,177.7555695,-55.0979805,-21.46639633,-0.51292044,-0.00707195,0.80315876
460,2351242688,178.2221375,-54.68170547,-21.8296051,-0.9102105,0.27158725,1.6976519
461,2351259355,178.4648895,-54.28972626,-22.03736496,-0.829324,0.56048983,0.4377489
462,2351276022,178.5491791,-53.78630447,-22.06990623,0.109202124,0.23987606,-0.817832
463,2351292689,178.6323242,-53.27511978,-22.15943909,-0.014516454,-0.27303874,0.07999325
464,2351309356,178.5807037,-52.89784241,-22.3719101,-0.517822,-0.044209186,1.1188221
465,2351326023,178.4511566,-52.64321899,-22.58213997,-0.23209907,0.35191742,0.52286816
466,2351342690,178.4589844,-52.35342407,-22.74394417,-0.62824607,0.97005373,0.32181454
