PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia
291,2348425965,-77.54502106,-78.79592133,-85.65615082,0.15745294,0.36785585,0.5847359
293,2348459299,-67.69164276,-78.40588379,-96.37882996,1.1260495,1.2895501,0.265193
295,2348492633,-57.71047592,-77.30157471,-107.0368271,1.4160255,1.5016506,-0.41951084
298,2348542634,-44.93688202,-74.14784241,-119.3946304,1.6224526,1.1499797,0.5241022
300,2348575968,-36.73775101,-71.24469757,-126.2269821,1.4471661,1.8082116,-0.18280125
302,2348609302,-30.60653496,-68.68230438,-130.6171722,0.6207533,1.1861045,-0.6282406
304,2348642636,-26.0668602,-65.83312988,-133.4791718,-0.19972461,1.3016672,-1.3091259
306,2348675970,-21.68604851,-63.18491364,-135.493927,-1.4520912,0.23182842,-2.3452282
307,2348692637,-19.12719536,-61.86763,-136.674881,-1.3632544,-0.80123097,-1.70718
309,2348725971,-14.40988064,-58.7665863,-139.1621246,0.19966835,-1.3867879,-0.94874954
313,2348792639,-9.787133217,-52.86360931,-140.842041,0.18295605,-1.6457698,-1.4080915
315,2348825973,-9.726306915,-50.27446365,-140.947403,-0.007121193,-0.38341692,-0.99461937
316,2348842640,-10.26125336,-48.76551056,-141.146286,0.41405702,-0.08719341,-0.7230177
318,2348875974,-10.71690464,-45.68334961,-141.5283051,0.8454185,0.38540027,0.31446457
320,2348909308,-10.44031811,-43.04166794,-141.8085175,-1.0002981,0.91347843,-0.46692467
322,2348942642,-10.08393669,-40.56296921,-142.5155029,-0.21365444,1.0146831,0.016643524
324,2348975976,-8.926303864,-37.94678116,-142.9712372,0.27924466,0.13597679,-0.09065914
325,2348992643,-8.384254456,-36.76895523,-143.0439911,0.20921794,-0.320956,-0.29071426
327,2349025977,-7.765645027,-34.50047302,-143.2380066,-0.062287185,-1.0801013,0.60096455
329,2349059311,-7.783164501,-32.27579117,-143.3704224,-0.77586794,0.46011266,0.71060085
333,2349125979,-7.607791901,-28.47372437,-142.96315,-0.44057673,0.21258233,0.5467377
334,2349142646,-7.637691975,-27.67743301,-142.7681885,-0.074233666,-0.19129926,1.0452967
336,2349175980,-7.7008214,-26.25360107,-142.4551086,0.23062636,-1.1026287,0.61163235
