PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
1227,1228457215,-134.4504242,-83.51850128,-49.35211563,-0.71435475,-1.9200943,1.0090084
1228,1228473882,-136.2719116,-83.14282227,-47.76791382,-0.16763559,-2.0639277,1.2129517
1229,1228490549,-137.2215271,-82.99246216,-47.28602219,0.57632416,-1.9092696,1.0270052
1230,1228507216,-137.6952667,-83.03044128,-47.33841705,0.99497074,-1.4171792,0.5727663
1231,1228523883,-138.1503143,-83.09479523,-47.38385391,1.3185306,-0.93045247,0.15280724
1232,1228540550,-138.3391724,-83.0803833,-47.61839676,1.1243817,-0.17534351,0.49575806
1233,1228557217,-137.3616791,-83.2072525,-48.77340317,0.4844611,0.88533014,0.64169216
1234,1228573884,-136.8373718,-83.38328552,-49.35174561,0.3634233,1.3653,-0.04445362
1235,1228590551,-137.8656921,-83.39208984,-48.37651443,0.29640603,1.150672,-0.4792137
1236,1228607218,-139.5489349,-83.18655396,-46.70516968,-0.026029827,0.9547957,-0.26108265
1237,1228623885,-140.4122925,-82.92274475,-45.7572403,-0.35010466,0.7717214,0.20301819
1238,1228640552,-140.2531891,-82.68930054,-45.6562767,-0.56513536,0.4930679,0.38968182
1239,1228657219,-139.4751892,-82.50927734,-46.06123734,-0.67114127,0.24229975,0.44698524
1240,1228673886,-138.7534637,-82.40896606,-46.47197342,-0.5285483,-0.0647958,0.5702896
1241,1228690553,-138.2518921,-82.40074921,-46.77914429,-0.3278386,-0.4316718,0.47427654
1242,1228707220,-137.8162384,-82.43439484,-47.09199142,-0.30777407,-0.6782303,0.2527399
1243,1228723887,-137.407608,-82.4724884,-47.46497726,-0.3597659,-0.7024509,0.21790123
1244,1228740554,-137.033783,-82.51541138,-47.92229462,-0.31530046,-0.4834897,0.06847572
1245,1228757221,-136.829834,-82.53860474,-48.32692719,-0.31755942,-0.20539708,-0.14235115
1246,1228773888,-136.869812,-82.53659821,-48.57225418,-0.25697434,0.019500963,0.024211884
1247,1228790555,-136.8829956,-82.54593658,-48.84871674,-0.004192575,0.19816522,0.3207264
1248,1228807222,-136.6277924,-82.61220551,-49.32183838,0.1383198,0.3025738,0.5359621
1249,1228823889,-136.0599213,-82.76187897,-50.04453278,-0.042764865,0.41747192,0.81073856
