PacketCounter_tibia,SampleTimeFine_tibia,Euler_X_tibia,Euler_Y_tibia,Euler_Z_tibia,FreeAcc_X_tibia,FreeAcc_Y_tibia,FreeAcc_Z_tibia,PacketCounter_femur,SampleTimeFine_femur,Euler_X_femur,Euler_Y_femur,Euler_Z_femur,FreeAcc_X_femur,FreeAcc_Y_femur,FreeAcc_Z_femur
,,,,,,,,683,2354959429,-123.8753967,-84.19623566,-82.0287323,-0.11987659,-0.13195652,0.1954794
,,,,,,,,684,2354976096,-123.8920517,-84.21091461,-81.91230774,-0.14073281,-0.122661784,0.21854973
,,,,,,,,685,2354992763,-123.9486084,-84.2095871,-81.79211426,0.056405924,-0.0966042,0.15217781
,,,,,,,,686,2355009430,-124.3526001,-84.21063995,-81.30097961,0.31889573,-0.013573998,0.11728668
,,,,,,,,687,2355026097,-125.0180359,-84.20732117,-80.46421051,0.49138016,0.010797688,0.18568993
,,,,,,,,688,2355042764,-125.6190796,-84.19491577,-79.6081543,0.36508656,-0.18995556,0.16818333
,,,,,,,,689,2355059431,-126.211792,-84.17728424,-78.76631165,0.07955944,-0.290289,0.06415558
,,,,,,,,690,2355076098,-126.9404984,-84.1500473,-77.88622284,-0.12863111,-0.22606575,0.10116863
,,,,,,,,691,2355092765,-127.6786804,-84.11064911,-77.06921387,0.08608537,-0.15352222,0.16213036
,,,,,,,,692,2355109432,-128.5653076,-84.0590744,-76.11698151,0.35561097,-0.09844913,0.14818096
,,,,,,,,693,2355126099,-129.6483002,-84.0020752,-74.92480469,0.46389514,0.039337553,0.19822025
,,,,,,,,694,2355142766,-130.8874969,-83.93942261,-73.49338531,0.5379149,0.11867158,0.18014717
,,,,,,,,695,2355159433,-132.2146149,-83.86323547,-71.9002533,0.5043914,0.10103015,0.09235382
,,,,,,,,696,2355176100,-133.738678,-83.76155853,-70.08853912,0.34525785,0.01433506,0.06271839
,,,,,,,,697,2355192767,-135.3898621,-83.63863373,-68.16114044,-0.02146638,-0.09219982,0.14034176
,,,,,,,,698,2355209434,-137.0828094,-83.50496674,-66.25858307,0.12289466,-0.13691962,0.16498661
,,,,,,,,699,2355226101,-138.769455,-83.35940552,-64.4139328,0.5162727,-0.21629377,0.087343216
,,,,,,,,700,2355242768,-140.4477234,-83.18269348,-62.58053589,0.42722237,-0.3430435,0.04625702
,,,,,,,,701,2355259435,-142.0966034,-82.98694611,-60.7894783,-0.022988811,-0.35512453,0.13659096
,,,,,,,,702,2355276102,-143.8034058,-82.78488159,-59.00366211,0.12745547,-0.3647084,0.098843575
,,,,,,,,703,2355292769,-145.6104431,-82.56230164,-57.19002914,0.56231254,-0.37577406,-0.050635338
,,,,,,,,704,2355309436,-147.4527435,-82.28586578,-55.35967636,0.73569834,-0.07960922,-0.05946827
,,,,,,,,705,2355326103,-149.4514771,-81.94402313,-53.26714706,1.2958337,-0.015416527,-0.1414051
,,,,,,,,706,2355342770,-151.6549225,-81.53759003,-50.84307861,1.4603081,-0.41304675,-0.22255993
,,,,,,,,707,2355359437,-153.7741394,-81.07498169,-48.4824028,0.6237575,-0.7876282,-0.15359783
,,,,,,,,708,2355376104,-155.770813,-80.58527374,-46.40663528,-0.18167806,-0.6950471,0.03651333
,,,,,,,,709,2355392771,-157.930603,-80.07744598,-44.45959854,0.36988205,-0.32393712,-0.1627369
,,,,,,,,710,2355409438,-160.5211334,-79.46059418,-42.25423813,1.9710001,0.046382736,-0.44032097
,,,,,,,,711,2355426105,-163.4947052,-78.60770416,-39.52366257,3.691147,-0.009211863,-0.7170925
,,,,,,,,712,2355442772,-166.4130554,-77.53443146,-36.55145645,3.8541636,0.023935458,-0.7336788
,,,,,,,,713,2355459439,-169.0514526,-76.3476944,-33.68904495,2.464746,0.5632181,-0.62079525
,,,,,,,,714,2355476106,-171.5454407,-75.00113678,-30.87988663,1.5030334,1.0078623,-0.6450405
,,,,,,,,715,2355492773,-173.6828766,-73.51100159,-28.26319313,1.3974733,0.7983554,-1.0122871
,,,,,,,,716,2355509440,-175.3466644,-71.92247009,-25.94994736,0.8138847,0.20237215,-1.4418993
,,,,,,,,717,2355526107,-176.7727203,-70.27890778,-23.90101051,-0.3121137,-0.07579358,-1.7205725
,,,,,,,,718,2355542774,-178.062027,-68.62995911,-22.1364212,-1.1383951,0.1682596,-1.0311613
,,,,,,,,719,2355559441,-179.2804108,-67.16639709,-20.59668922,-1.9983289,0.27042526,0.11991024
,,,,,,,,720,2355576108,179.6277313,-65.8666153,-19.21738434,-2.654425,-0.39221138,0.56485367
,,,,,,,,721,2355592775,178.6351166,-64.66794586,-18.13199043,-1.8723834,-0.88466525,-0.10772705
,,,,,,,,722,2355609442,177.5851593,-63.37000275,-17.41042137,-0.76328903,-0.054631483,-0.70982456
,,,,,,,,723,2355626109,176.675827,-61.9222374,-16.86588287,0.84712917,0.11973483,-0.5547981
,,,,,,,,724,2355642776,176.1595001,-60.58939362,-16.48731232,0.042049933,0.27734956,0.18417454
,,,,,,,,725,2355659443,176.0279999,-59.39978027,-16.24941826,-1.1567178,-0.062131908,0.6725435
,,,,,,,,726,2355676110,176.0753021,-58.26018143,-16.12011719,-1.6669958,-0.65340173,0.39101982
,,,,,,,,727,2355692777,175.9353485,-57.13116074,-16.0610466,-2.2229693,-0.29640377,0.61695194
,,,,,,,,728,2355709444,175.5176086,-55.96326447,-15.9726181,-1.3944001,-0.3308963,0.78187084
,,,,,,,,729,2355726111,175.1779633,-54.89318085,-15.93378353,-0.8859683,-0.21677025,1.0708799
,,,,,,,,730,2355742778,175.0799103,-54.04417801,-16.04736519,-1.3560294,0.4119455,0.85744
,,,,,,,,731,2355759445,175.2441406,-53.33127975,-16.31039619,-0.7778152,1.1984305,0.3105564
,,,,,,,,732,2355776112,175.85495,-52.61603165,-16.6422348,0.42562068,0.98089206,-0.090088844
,,,,,,,,733,2355792779,176.8265228,-51.68108368,-16.96069908,1.4643623,-0.59862477,-0.6067829
,,,,,,,,734,2355809446,177.6124725,-50.73534775,-17.2353096,0.31514364,-1.4763985,0.48455906
,,,,,,,,735,2355826113,178.1096954,-50.02637863,-17.55184746,-1.5867122,-2.4730392,1.7927828
,,,,,,,,736,2355842780,178.1317444,-49.51957703,-17.81155014,-3.1741514,-1.7008291,1.6182194
,,,,,,,,737,2355859447,177.6594543,-49.01485825,-18.12849808,-2.010079,-0.26457116,0.08963966
,,,,,,,,738,2355876114,177.015686,-48.50292206,-18.56863785,-0.3344211,0.7769542,0.35698605
,,,,,,,,739,2355892781,176.4890289,-48.07408905,-19.00610733,0.7165652,1.1659604,0.6200962
,,,,,,,,740,2355909448,176.3044434,-47.74724579,-19.35571098,0.47773692,1.0687665,0.4597683
,,,,,,,,741,2355926115,176.3783875,-47.44803238,-19.61425781,0.024538837,1.5955396,0.11957073
,,,,,,,,742,2355942782,176.7009735,-47.07161713,-19.76794624,-0.1100125,1.8316346,-0.055974007
,,,,,,,,743,2355959449,177.2194366,-46.60923004,-19.83197212,0.38366166,0.9104878,0.2577753
,,,,,,,,744,2355976116,177.596283,-46.21226883,-19.80558205,-0.15808208,0.86574775,0.7599697
,,,,,,,,745,2355992783,177.8006744,-45.95332718,-19.7128849,-0.65106237,0.45621732,0.648571
,,,,,,,,746,2356009450,177.730011,-45.77852249,-19.57729721,-0.78585696,0.3737539,0.5417948
,,,,,,,,747,2356026117,177.3558502,-45.64419556,-19.40231323,-0.6924826,0.62005466,0.8633537
,,,,,,,,748,2356042784,176.9350128,-45.51012421,-19.19096756,-0.36243737,0.23612334,0.7007351
,,,,,,,,749,2356059451,176.5550385,-45.40494537,-19.00484848,-0.30880582,-0.18132243,0.81844234
,,,,,,,,750,2356076118,176.0765381,-45.3670578,-18.82507706,-0.7154066,0.31914565,0.64056396
,,,,,,,,751,2356092785,175.631134,-45.31301117,-18.60064125,-0.323422,0.4644991,0.13087654
,,,,,,,,752,2356109452,175.465271,-45.26025009,-18.43444824,0.3087602,0.08969234,0.23311615
,,,,,,,,753,2356126119,175.552536,-45.28137207,-18.33141899,-0.34663573,0.011065791,0.5337286
,,,,,,,,754,2356142786,175.6954498,-45.31658936,-18.22718048,-0.870882,-0.17366442,0.35695553
,,,,,,,,755,2356159453,175.758255,-45.37703705,-18.17368507,-0.3782194,-0.15350546,0.84564686
,,,,,,,,756,2356176120,175.7626495,-45.47164536,-18.11746597,-0.28651795,0.060592853,0.5984001
,,,,,,,,757,2356192787,175.7905884,-45.56315994,-18.02222252,-0.5365532,0.072563425,0.21033669
